DATAFLOW,SEXP: Sex,PCHAR: Selected person characteristic,REGION: Region,REGION_TYPE: Region Type,STATE: State,TIME_PERIOD: Time Period,OBS_VALUE
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4067: 4067,POA: Postal Areas,3: Queensland,2021,12220
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6627: 6627,POA: Postal Areas,5: Western Australia,2021,57
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4814: 4814,POA: Postal Areas,3: Queensland,2021,46193
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2200: 2200,POA: Postal Areas,1: New South Wales,2021,48003
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4823: 4823,POA: Postal Areas,3: Queensland,2021,961
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3746: 3746,POA: Postal Areas,2: Victoria,2021,382
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3815: 3815,POA: Postal Areas,2: Victoria,2021,3693
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6003: 6003,POA: Postal Areas,5: Western Australia,2021,3652
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2144: 2144,POA: Postal Areas,1: New South Wales,2021,39333
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3215: 3215,POA: Postal Areas,2: Victoria,2021,21994
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5111: 5111,POA: Postal Areas,4: South Australia,2021,376
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3756: 3756,POA: Postal Areas,2: Victoria,2021,15931
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4013: 4013,POA: Postal Areas,3: Queensland,2021,4876
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2430: 2430,POA: Postal Areas,1: New South Wales,2021,36841
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3465: 3465,POA: Postal Areas,2: Victoria,2021,10111
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3505: 3505,POA: Postal Areas,2: Victoria,2021,5010
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6284: 6284,POA: Postal Areas,5: Western Australia,2021,2875
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4470: 4470,POA: Postal Areas,3: Queensland,2021,3184
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5169: 5169,POA: Postal Areas,4: South Australia,2021,20086
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5660: 5660,POA: Postal Areas,4: South Australia,2021,39
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6341: 6341,POA: Postal Areas,5: Western Australia,2021,260
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6642: 6642,POA: Postal Areas,5: Western Australia,2021,1200
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4496: 4496,POA: Postal Areas,3: Queensland,2021,208
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5570: 5570,POA: Postal Areas,4: South Australia,2021,597
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6758: 6758,POA: Postal Areas,5: Western Australia,2021,1159
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2754: 2754,POA: Postal Areas,1: New South Wales,2021,7065
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3189: 3189,POA: Postal Areas,2: Victoria,2021,6287
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2465: 2465,POA: Postal Areas,1: New South Wales,2021,346
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2738: 2738,POA: Postal Areas,1: New South Wales,2021,2132
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3180: 3180,POA: Postal Areas,2: Victoria,2021,7645
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3450: 3450,POA: Postal Areas,2: Victoria,2021,7588
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4061: 4061,POA: Postal Areas,3: Queensland,2021,17318
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3437: 3437,POA: Postal Areas,2: Victoria,2021,11715
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4413: 4413,POA: Postal Areas,3: Queensland,2021,8675
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4520: 4520,POA: Postal Areas,3: Queensland,2021,13885
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3105: 3105,POA: Postal Areas,2: Victoria,2021,11124
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3709: 3709,POA: Postal Areas,2: Victoria,2021,307
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6227: 6227,POA: Postal Areas,5: Western Australia,2021,788
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2471: 2471,POA: Postal Areas,1: New South Wales,2021,2821
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5582: 5582,POA: Postal Areas,4: South Australia,2021,603
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3242: 3242,POA: Postal Areas,2: Victoria,2021,942
