Postcode,House,Semi-detached,Apartment,Other dwelling,"No bedrooms (studios, etc)",1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 bedrooms,6 or more bedrooms,Couple with no children,Couple with children,One parent with children,Other family,Sole person household,Group household,People with Mental Health Conditions,Total People,State
2029,1651,703,5519,120,107,1305,4837,3131,1172,356,89,3151,2852,1057,90,3495,526,546,9911,1: New South Wales
2030,5191,953,3404,183,25,589,3532,3035,2763,1456,378,3069,4725,1038,90,2820,272,632,14434,1: New South Wales
2031,4169,4731,17792,514,257,5438,19597,7986,3636,1031,248,10559,9710,2943,495,11738,3263,2153,33830,1: New South Wales
2032,3802,2071,5254,64,323,1840,5788,4222,1601,633,232,2994,3644,1345,304,4700,1880,1025,14643,1: New South Wales
2033,1833,599,6217,7,192,2104,5802,2317,969,456,118,3324,2602,903,233,3843,1197,857,11927,1: New South Wales
2034,2917,1862,11650,73,261,3052,10777,5753,2292,689,145,6342,5367,1782,266,7074,2471,1398,20249,1: New South Wales
2035,9074,5316,11962,199,458,3969,13504,9937,4755,1720,451,8580,10420,3681,471,10232,1951,2182,34602,1: New South Wales
2036,8615,4105,11225,21,317,4183,10553,9599,4821,1303,368,7336,10311,3725,425,8531,1327,2018,33767,1: New South Wales
2037,669,6534,7642,182,953,5510,8220,4860,1745,354,130,5922,3315,1731,255,9043,1945,1915,16641,1: New South Wales
2038,1726,3589,2186,91,429,1703,3452,3353,1234,207,33,2771,2836,757,111,3423,611,921,9487,1: New South Wales
2039,1766,2801,2519,106,134,1589,3601,3361,982,119,0,2999,2644,769,98,2990,429,701,8553,1: New South Wales
2040,7251,5332,5030,87,333,2764,8763,7908,2527,398,53,5654,7053,2201,250,6504,1272,2135,22803,1: New South Wales
2041,2922,5666,4427,44,334,2429,6534,5559,2597,476,72,5278,4840,1344,143,5957,580,1267,15584,1: New South Wales
2042,1250,8329,6250,491,1503,4930,8571,5996,1932,346,132,6719,3710,1284,283,8572,3304,2602,18673,1: New South Wales
2043,286,3128,5602,34,156,3542,6853,2241,506,38,12,4890,2123,605,93,4386,1342,1064,9657,1: New South Wales
2044,2649,2247,1363,68,73,762,3321,2866,855,168,31,2525,2072,683,140,1874,841,870,8278,1: New South Wales
2045,3544,541,312,23,0,186,815,1934,1491,327,56,1151,2033,490,45,1038,107,555,6480,1: New South Wales
2046,9721,2607,8687,279,92,1984,11282,8730,3356,1065,192,7193,8488,2628,334,7683,775,1734,27288,1: New South Wales
2047,2997,1062,5617,131,22,881,5855,4377,1452,386,94,4065,3318,1165,161,3985,539,770,12011,1: New South Wales
2048,1173,2506,2406,134,179,1721,2625,2755,1081,189,49,2399,1985,582,136,2757,899,912,7619,1: New South Wales
2049,2503,2243,5154,236,535,3073,5224,3271,1331,252,65,3680,2972,1017,187,4915,1266,1539,12258,1: New South Wales
2050,245,1835,5964,36,655,4368,4598,1696,487,56,21,3615,1445,514,132,5058,1268,1080,9381,1: New South Wales
2060,1372,2379,10589,16,1130,5759,8227,4378,923,241,47,6563,3231,1125,228,8613,1129,1029,15135,1: New South Wales
2061,215,271,5785,0,434,2686,3804,1976,281,48,0,3106,933,457,84,4334,401,409,6158,1: New South Wales
2062,1512,925,3634,22,49,1464,3509,2395,668,210,38,2316,2121,736,84,2876,266,502,7088,1: New South Wales
2063,3180,262,819,11,31,256,937,1299,1400,781,98,1260,2110,367,33,991,62,357,6493,1: New South Wales
2064,1635,638,4964,6,51,910,6159,1764,796,260,55,2280,3510,922,142,2635,585,555,9417,1: New South Wales
2065,5212,3458,19683,69,1025,9028,16372,9934,2533,717,136,12231,8766,2370,432,14021,2260,2183,31698,1: New South Wales
2066,10370,1566,14010,19,426,4629,13794,7727,4380,2190,400,8913,10984,2725,318,9675,1177,2217,33844,1: New South Wales
2067,6251,884,12884,7,275,5124,10958,6142,2819,1013,287,6875,8746,2737,455,6681,1440,1175,27078,1: New South Wales
2068,8129,1152,2486,99,116,835,3579,4121,3568,1190,197,3245,5824,1467,139,2751,318,988,17450,1: New South Wales
2069,7330,331,2031,7,32,554,2206,2837,3201,1672,292,2731,4918,954,91,1910,285,753,14604,1: New South Wales
2070,6044,253,3681,11,167,839,2903,3256,2774,1619,308,2859,5132,1115,103,2554,206,736,14648,1: New South Wales
2071,5785,214,3159,0,3,680,2491,2835,2569,1728,453,2581,4646,1185,120,2123,172,658,13510,1: New South Wales
2072,2894,227,3082,191,6,1110,2558,2128,1346,693,130,2057,3127,993,64,1730,172,435,8795,1: New South Wales
2073,8915,262,1981,3,8,616,1825,2987,4048,2245,457,3066,6044,1132,77,1847,166,796,17221,1: New South Wales
2074,11551,715,3738,25,3,1031,3370,5271,5253,2687,510,4966,7580,1545,155,3801,222,1317,23423,1: New South Wales
2075,10242,1011,3317,0,10,622,3216,4393,5249,2596,557,4488,7494,1535,75,2991,156,1087,21665,1: New South Wales
2076,12660,1262,2494,4,38,846,2389,5819,5873,2650,586,4603,8320,1656,97,3394,266,1625,25340,1: New South Wales
2077,12585,1506,17921,48,338,4741,20099,9110,5135,1627,362,9944,15203,4171,556,10628,1282,2828,42819,1: New South Wales
2079,4471,200,655,8,8,339,839,1986,1901,558,85,1441,2668,568,60,944,85,597,7816,1: New South Wales
2080,1099,57,3,0,0,17,89,421,474,142,24,315,563,129,0,184,6,143,1766,1: New South Wales
2081,3357,162,16,0,12,36,189,1297,1519,487,71,927,1797,356,6,511,31,422,5394,1: New South Wales
2082,3470,159,39,0,0,41,203,1602,1403,412,88,1005,1778,348,17,589,37,447,5458,1: New South Wales
2083,1254,9,54,28,18,67,362,533,311,69,6,465,371,105,10,407,32,136,1665,1: New South Wales
2084,2091,83,141,82,17,108,187,734,861,436,147,796,1091,177,8,416,46,281,3759,1: New South Wales
2085,6340,585,656,0,42,256,801,2088,3438,1212,254,2138,3586,720,47,1617,70,758,11452,1: New South Wales
2086,8146,365,271,0,66,225,392,3024,3647,1432,287,2053,4874,803,52,1185,125,880,14214,1: New South Wales
2087,7331,836,421,0,32,838,854,2530,3243,1348,307,1962,4343,864,66,1939,81,785,13161,1: New South Wales
2088,8058,2778,12005,192,206,5184,10427,7439,4519,2079,353,8783,8099,2281,243,10444,741,1654,28329,1: New South Wales
2089,967,1100,8610,25,431,3516,6838,3788,702,163,33,4400,2702,1088,190,6287,948,785,11491,1: New South Wales
2090,2029,1273,9003,18,277,2948,7879,4627,1171,353,93,4975,3626,1185,213,6703,775,898,13533,1: New South Wales
2092,3942,356,228,0,4,100,393,1585,1762,836,126,1147,2537,445,27,575,79,416,7384,1: New South Wales
2093,9000,1867,5763,140,78,1859,6805,5596,4110,1682,299,5136,7860,1935,151,4855,702,1365,23555,1: New South Wales
2094,1269,1074,2434,5,5,670,2353,2490,749,186,31,2001,1969,463,44,1653,438,311,6141,1: New South Wales
2095,1575,1594,10711,55,534,3679,8528,5374,1395,344,77,6642,4181,1124,129,6497,1535,988,16296,1: New South Wales
2096,4605,531,6425,22,36,2065,7208,2849,1841,753,205,4675,4284,1108,120,3975,939,803,14955,1: New South Wales
2097,7028,369,3385,44,51,930,3744,3228,3067,1258,341,3423,4942,1201,128,2650,375,990,15991,1: New South Wales
2099,13015,2118,17373,71,487,7019,19023,7660,5009,2037,582,11062,12737,4161,454,12035,1945,2726,42917,1: New South Wales
2100,10633,1022,2702,52,348,1897,3072,4505,4076,1738,472,3809,6964,1558,127,3427,433,1463,21973,1: New South Wales
2101,7835,1517,5200,81,167,2215,6878,4236,2888,1092,343,4769,5548,1747,129,5348,470,1549,19885,1: New South Wales
2102,2838,1356,1198,0,17,232,1575,2568,1684,483,67,1663,2834,874,32,1238,65,606,8379,1: New South Wales
2103,4260,1272,2319,81,61,778,2521,3373,1943,786,191,3025,3039,889,54,2536,209,655,10877,1: New South Wales
2104,1754,722,608,3,64,466,988,777,854,394,125,1173,880,130,18,1476,26,215,3807,1: New South Wales
2105,1414,14,33,3,12,53,196,549,505,154,19,565,509,92,12,293,12,116,2008,1: New South Wales
2106,4544,547,1957,116,55,740,2234,2550,1898,737,146,2583,2715,755,68,2130,235,578,9659,1: New South Wales
2107,9220,335,1023,7,55,448,1578,3588,3985,1303,270,3618,4281,960,38,2255,159,857,15422,1: New South Wales
