Postcode,House,Semi-detached,Apartment,Other dwelling,"No bedrooms (studios, etc)",1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 bedrooms,6 or more bedrooms,Couple with no children,Couple with children,One parent with children,Other family,Sole person household,Group household,People with Mental Health Conditions,Total People,State
2830,26695,2807,2223,115,125,1410,6439,11815,11732,1886,388,9069,9642,4222,376,9965,1210,4367,44963,1: New South Wales
2831,1149,0,3,4,0,47,117,486,382,115,16,358,406,117,0,263,18,150,1845,1: New South Wales
2832,903,38,26,145,17,126,213,402,284,55,30,333,233,154,21,447,33,104,2149,1: New South Wales
2833,346,16,0,10,0,35,67,154,98,23,0,115,71,64,6,131,20,26,634,1: New South Wales
2834,919,62,20,326,41,269,450,458,205,35,0,394,219,208,20,777,73,191,1984,1: New South Wales
2835,2350,88,137,35,11,142,361,1199,826,102,28,725,695,280,30,971,53,241,3793,1: New South Wales
2836,377,28,6,8,17,71,111,209,85,28,24,104,92,106,9,245,4,43,895,1: New South Wales
2838,157,8,0,0,0,3,16,45,49,6,6,45,31,34,0,61,12,10,223,1: New South Wales
2839,655,66,6,5,6,41,177,305,186,19,11,166,115,152,12,297,38,59,1079,1: New South Wales
2840,1457,15,28,15,4,106,215,611,422,106,24,377,439,193,34,509,24,145,2389,1: New South Wales
2842,541,0,0,20,8,17,123,197,150,40,10,123,154,57,6,203,28,56,720,1: New South Wales
2843,828,34,0,0,0,72,132,354,227,36,38,269,220,62,8,277,18,91,1262,1: New South Wales
2844,1012,28,0,3,8,54,161,420,293,90,14,336,214,112,6,359,14,77,1312,1: New South Wales
2845,1396,48,4,31,12,8,209,667,492,84,12,384,466,188,17,423,48,193,2019,1: New South Wales
2846,214,0,0,0,8,16,68,69,48,6,0,66,38,12,0,90,0,14,253,1: New South Wales
2847,1847,15,0,28,0,35,367,923,445,80,19,553,446,249,20,608,26,246,2447,1: New South Wales
2848,1360,38,22,10,0,72,413,682,212,28,0,349,174,196,8,669,35,201,1540,1: New South Wales
2849,1235,11,3,0,12,73,200,517,340,78,32,451,283,90,9,414,36,105,1610,1: New South Wales
2850,12641,1112,90,189,76,564,2202,5696,4573,960,245,4378,4187,1467,143,4128,472,1741,19146,1: New South Wales
2852,2624,40,48,30,12,90,454,1158,820,178,20,839,770,302,22,826,48,351,3734,1: New South Wales
2864,597,0,6,11,4,36,58,275,197,32,6,237,166,44,12,160,14,73,824,1: New South Wales
2865,655,0,14,11,0,27,90,295,219,45,0,240,203,54,3,188,8,90,927,1: New South Wales
2866,1907,49,54,232,16,83,392,825,652,221,76,679,745,224,15,708,28,266,3112,1: New South Wales
2867,430,3,0,0,0,14,46,192,121,28,18,139,150,38,0,102,10,49,636,1: New South Wales
2868,416,0,0,0,0,10,57,163,132,40,14,139,120,48,0,104,6,63,579,1: New South Wales
2869,1048,33,16,17,13,65,228,513,239,56,12,328,227,169,11,407,38,124,1528,1: New South Wales
2870,8066,338,562,43,65,280,1661,3942,2756,521,114,2569,2427,1139,80,3067,233,1273,12036,1: New South Wales
2871,6128,309,319,97,27,197,1384,3007,1894,378,69,2076,1634,853,55,2423,167,834,8965,1: New South Wales
2873,422,0,15,0,6,33,61,193,106,35,12,155,117,9,0,157,16,37,560,1: New South Wales
2874,253,0,0,0,0,10,32,124,81,14,0,79,61,16,0,93,0,20,369,1: New South Wales
2875,593,0,10,0,0,42,69,244,197,31,12,208,147,68,12,199,6,57,802,1: New South Wales
2876,308,0,0,0,5,6,26,120,112,34,6,92,96,40,0,70,6,42,494,1: New South Wales
2877,2425,75,19,13,9,74,405,1092,681,197,65,707,679,279,47,839,46,266,3575,1: New South Wales
2878,169,7,0,0,0,8,30,70,51,9,6,60,41,20,0,61,0,15,286,1: New South Wales
2879,438,11,0,0,0,44,108,177,85,15,11,131,60,61,8,195,16,36,577,1: New South Wales
2880,14098,353,360,33,42,741,3031,8044,2501,449,127,3936,2956,2119,201,5757,331,2122,18097,1: New South Wales
2898,260,45,21,0,0,59,64,129,79,10,0,112,93,17,0,118,9,10,445,1: New South Wales
2899,1710,17,21,0,4,150,457,718,334,66,8,571,336,148,20,690,42,109,2188,9: Other Territories
2900,144,1423,2642,0,51,1501,2169,2021,435,10,0,1744,819,636,62,2720,253,530,4177,8: Australian Capital Territory
2902,9902,1554,231,0,0,186,1328,5765,4190,812,166,3436,3839,1614,148,3239,323,1712,15670,8: Australian Capital Territory
2903,6311,640,45,0,5,274,732,3010,2650,548,80,2093,2442,842,71,1722,160,1006,9588,8: Australian Capital Territory
2904,8802,610,100,0,0,68,654,3682,4327,946,139,2908,3636,1062,75,2012,161,1264,13196,8: Australian Capital Territory
2905,17599,2535,480,0,8,164,1502,12101,6704,1241,214,5503,7855,2993,240,5014,502,3110,28731,8: Australian Capital Territory
2906,9608,2667,510,0,12,133,1006,7390,4633,893,154,3535,5280,2018,103,3229,237,2059,18107,8: Australian Capital Territory
2911,2351,515,509,0,12,270,937,1049,1307,263,38,974,1598,268,29,863,138,292,4804,8: Australian Capital Territory
2912,2291,1121,2996,3,34,1824,2780,1587,1806,328,46,2494,2282,709,143,2320,570,763,8604,8: Australian Capital Territory
2913,18953,6615,2020,0,3,1343,5129,13831,9118,1972,238,7906,12145,3376,336,6926,1229,3509,39396,8: Australian Capital Territory
2914,15536,3906,2240,0,15,1441,3062,7719,10569,1574,153,5235,11893,2542,282,3924,926,2605,34576,8: Australian Capital Territory
3000,17,96,43104,17,2723,21489,34988,4758,193,28,21,15592,2978,1708,2302,31107,11449,2739,43084,2: Victoria
3002,155,1079,3518,3,162,1821,2983,1565,400,45,43,2512,672,237,96,3087,509,450,4896,2: Victoria
3003,89,1439,6130,36,73,3697,5639,1565,285,58,23,3527,1275,454,209,4509,1541,668,8025,2: Victoria
3004,6,11,11385,0,158,4945,8780,2945,145,4,4,5488,1737,817,259,7686,1155,837,11482,2: Victoria
3006,3,318,23430,15,83,10268,20344,4516,134,15,18,10750,2889,1415,762,15325,4558,1552,22699,2: Victoria
3008,80,214,14754,5,130,7389,12198,2347,268,20,0,7545,2796,849,405,8908,2059,762,15495,2: Victoria
3011,7447,2895,8398,134,340,4600,11044,6591,1356,191,63,6418,4262,1895,558,9158,2317,2792,22278,2: Victoria
3012,11602,5607,3787,74,67,2407,9683,10071,2693,377,93,6172,6775,2484,494,8033,1869,2614,27023,2: Victoria
3013,8698,1973,1323,137,9,947,4651,5881,1831,285,55,3660,4305,1168,184,3768,768,1617,15636,2: Victoria
3015,8748,4077,904,60,10,698,4174,7781,3009,403,50,3995,6021,1592,211,3954,547,1611,18634,2: Victoria
3016,6647,3853,1679,17,28,1290,4038,6001,2864,552,55,3812,5047,1391,140,4355,256,1227,16025,2: Victoria
3018,7143,3165,833,26,55,618,3785,5988,2249,336,34,3612,3575,1270,131,4284,309,1141,13556,2: Victoria
3019,3208,3297,260,37,16,757,2366,3618,1312,284,50,1732,2310,1364,239,2274,699,669,9682,2: Victoria
3020,23229,4916,2200,24,53,1803,6241,18234,5807,1021,169,7171,10276,5182,746,8625,1990,2976,44372,2: Victoria
3021,29013,4293,2458,56,73,787,6174,23897,6282,1004,204,8289,12423,6912,951,8916,1778,3272,55112,2: Victoria
3022,1750,460,17,57,6,94,585,1465,274,30,12,511,634,362,63,838,120,279,3170,2: Victoria
3023,34861,3787,694,8,45,413,3379,19512,14994,2355,285,7764,19726,5869,606,6713,958,3507,67146,2: Victoria
3024,20040,900,32,0,5,65,748,8703,10501,982,108,4174,10259,3090,248,3024,658,2576,34004,2: Victoria
3025,6472,2569,325,17,18,409,1678,6630,1692,206,25,2593,3414,1362,177,2955,308,1029,12962,2: Victoria
3026,4499,146,0,87,4,100,171,1383,2729,290,44,695,2794,624,49,548,122,314,8770,2: Victoria
3027,5019,319,307,0,6,87,479,1302,3362,571,42,1249,3015,491,98,738,358,342,9448,2: Victoria
3028,18032,2108,860,23,21,204,4104,13044,4218,491,83,5306,7199,3006,325,5910,810,2475,28191,2: Victoria
3029,67026,6871,1970,0,41,439,5506,30658,37698,4055,534,15390,40819,8565,1237,11430,2918,5616,129888,2: Victoria
3030,66800,8738,1780,83,85,823,8183,30553,36749,4635,480,17189,36595,9858,1059,15557,2453,8054,119201,2: Victoria
3031,2967,6480,6150,65,116,4216,9623,6068,1428,182,33,5422,3895,1933,389,8618,1778,2054,17772,2: Victoria
3032,9219,6104,8779,39,49,3091,12998,9926,4192,796,121,8051,8054,2688,548,10218,2052,2594,29874,2: Victoria
3033,8781,2002,90,20,18,61,1012,6753,3406,491,67,3121,4423,1472,125,2526,259,1066,15078,2: Victoria
3034,6905,1998,39,37,0,99,1149,5314,2717,541,47,2658,3462,1191,145,2368,207,1025,12388,2: Victoria
3036,3762,545,0,0,21,55,553,1783,1695,380,41,1285,1734,456,17,1043,48,362,5974,2: Victoria
3037,25314,5682,598,0,7,453,2140,15903,13344,2082,285,6685,16640,4801,388,5645,557,3274,51402,2: Victoria
3038,15805,1962,93,7,28,95,825,8577,7614,1279,192,5111,7972,2357,155,3016,271,1670,26703,2: Victoria
3039,6133,2149,5397,37,118,3412,6028,4904,2231,469,76,4608,3986,1121,260,6545,970,1598,16224,2: Victoria
3040,10625,4221,6011,55,39,2929,8502,8241,4820,1142,144,6071,7857,2118,304,8665,1053,2052,26722,2: Victoria
3041,6187,1790,1628,30,13,683,2783,4411,2603,607,120,2610,4130,1083,123,3099,292,972,13111,2: Victoria
3042,8995,4057,256,22,19,201,3114,8732,2775,408,71,3678,4789,1870,255,4504,398,1291,16763,2: Victoria
3043,10539,3042,111,0,14,304,2597,8514,3144,448,68,3733,4606,2028,210,4379,338,1444,17912,2: Victoria
3044,12949,7791,1052,43,45,744,9930,10987,3566,574,108,6390,8498,2604,363,7227,1209,2459,28701,2: Victoria
3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,2: Victoria
3046,16278,8930,1820,32,33,1011,11147,15105,3968,617,108,8149,9533,3545,611,9052,1607,3018,36772,2: Victoria
3047,9709,1729,1582,3,71,576,3243,8582,1513,303,79,2505,5069,2555,336,3517,727,1579,21478,2: Victoria
3048,8880,1571,84,0,14,83,952,8029,1681,257,54,1891,4740,2238,210,1965,344,1400,18081,2: Victoria
3049,5875,1138,40,10,3,178,793,3966,2172,374,50,1860,2644,1084,82,1834,143,792,9812,2: Victoria
3051,538,3484,8862,76,281,4610,9285,3608,881,143,67,4447,2724,1547,374,7738,2356,1648,14953,2: Victoria
3052,98,1547,2636,4,53,1335,2903,1095,589,294,45,1659,914,354,114,2317,1021,930,7297,2: Victoria
3053,185,2374,11164,91,825,5859,9669,2956,699,201,68,4423,1433,1016,596,9371,3756,1652,16034,2: Victoria
3054,561,4704,1571,94,46,945,4354,3380,1033,186,52,2962,1788,649,181,2905,1610,953,8186,2: Victoria
3055,5025,2671,5452,57,72,3379,7820,4155,1397,221,48,4022,3174,1129,272,7118,1618,2110,14746,2: Victoria
3056,7781,6465,7564,287,290,4948,13306,7773,2140,357,68,8104,4432,1592,469,10560,4093,3764,24912,2: Victoria
3057,2875,3278,6433,87,70,4267,8282,3836,836,102,27,4825,2276,970,256,7089,2179,1995,13262,2: Victoria
3058,17961,6177,2373,52,139,2123,10254,12786,4427,666,138,7648,8865,2922,509,8287,2670,4316,34906,2: Victoria
3059,12277,385,0,0,18,45,200,3351,7482,1393,214,2991,7046,1401,105,1220,102,1058,21274,2: Victoria
3060,7872,1450,45,24,18,180,2325,5784,1381,254,34,2035,3674,1241,168,2550,467,952,14274,2: Victoria
3061,2720,167,81,213,26,319,271,2043,453,94,20,610,1201,464,50,1005,76,339,4977,2: Victoria
3062,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,2: Victoria
3063,335,0,0,0,0,0,12,82,148,58,28,84,160,32,8,43,0,34,563,2: Victoria
3064,59361,5036,610,12,48,280,4592,26583,30742,3994,496,11774,36476,8485,836,8764,1549,5999,114413,2: Victoria
3065,283,3333,5422,62,289,2501,6219,3343,768,159,35,3796,1611,1049,234,5212,1659,1266,10431,2: Victoria
3066,511,2295,6133,34,146,3729,6617,2204,273,29,3,3849,1152,912,197,5689,1399,1195,9179,2: Victoria
3067,905,2096,5522,262,91,3189,6330,2357,403,81,26,3828,1513,507,178,5294,1437,1136,9096,2: Victoria
3068,2832,8040,5318,86,60,3391,9402,7225,2239,362,78,6345,4771,1442,242,7580,2615,2510,19382,2: Victoria
3070,10047,5600,4665,134,126,4077,9039,8658,2920,513,93,6526,6268,1848,271,8368,2383,3173,25276,2: Victoria
3071,8221,3749,3910,104,22,3481,7569,6333,1877,291,65,4753,4564,1607,238,7256,1476,2438,19005,2: Victoria
3072,15193,6796,4994,273,260,3467,12982,11858,3460,625,145,7918,8166,3185,680,10631,2774,3934,33790,2: Victoria
3073,25606,13157,1565,149,75,3316,17990,19307,5207,929,203,11547,12159,5202,883,15629,2581,5036,51096,2: Victoria
3074,12382,1401,886,7,38,376,2600,9581,2581,316,78,3904,4838,2273,327,3998,513,1484,20234,2: Victoria
3075,14040,769,985,5,16,240,2192,9869,3497,491,113,3821,5900,2401,289,3712,560,1722,23219,2: Victoria
3076,17375,3633,375,5,41,394,2842,11981,6830,803,118,4766,9690,3385,327,4576,651,2205,33489,2: Victoria
3078,4737,2291,2907,25,46,2299,4163,3909,1683,335,55,2996,3150,887,131,4692,709,1464,12237,2: Victoria
3079,7639,2415,3189,22,53,1494,5038,5529,3005,730,106,4263,4877,1351,177,4880,527,1452,17055,2: Victoria
3081,6846,3954,318,4,26,827,4872,5714,1328,237,52,2891,3142,1720,257,4319,931,1664,14003,2: Victoria
3082,17633,1957,511,0,13,87,2209,11217,6420,960,128,5315,8318,2705,259,4173,577,2257,28712,2: Victoria
3083,17004,3401,2275,0,74,1281,4786,11004,6523,1237,290,6228,7784,2813,460,6460,1795,2519,31529,2: Victoria
3084,14478,2674,3027,33,14,1344,5922,9068,5296,1055,165,6036,7839,2106,183,6218,673,2228,27045,2: Victoria
3085,8239,1813,245,18,64,241,2239,5478,2749,441,47,2801,4081,1141,80,2974,283,1313,14050,2: Victoria
3087,6317,581,40,0,0,156,997,4015,1718,243,50,1883,2456,853,74,1769,225,882,9156,2: Victoria
3088,17045,2585,433,0,40,527,3416,10136,5994,1154,141,5792,7857,2301,175,5108,366,2511,27181,2: Victoria
3089,7846,447,9,0,38,31,579,3508,3474,762,88,2194,3978,946,55,1306,82,1054,12503,2: Victoria
3090,1466,0,0,0,0,3,27,282,786,318,55,369,875,76,14,137,12,161,2575,2: Victoria
3091,969,0,0,0,0,6,28,251,476,150,44,296,506,58,6,97,0,102,1602,2: Victoria
3093,2210,615,113,0,0,76,800,1167,890,275,48,938,1024,308,32,946,49,347,3962,2: Victoria
3094,6185,828,70,0,11,118,1433,3877,1691,308,42,2027,2569,882,78,1867,115,829,9250,2: Victoria
3095,17290,851,1097,7,7,320,1954,8159,7736,1666,291,5604,8945,2004,123,3407,158,2333,28373,2: Victoria
3096,1212,0,8,0,6,20,56,461,524,108,30,314,580,146,18,158,8,235,1911,2: Victoria
3097,898,0,0,0,0,18,78,240,349,150,52,300,392,71,0,108,16,120,1536,2: Victoria
3099,3337,53,5,0,12,135,290,1475,1150,242,86,997,1419,372,21,585,60,462,4993,2: Victoria
3101,9148,4259,4650,42,33,990,7502,7355,4617,1584,268,5867,6744,2063,328,6362,1264,1863,24499,2: Victoria
3102,3125,1030,543,0,15,53,1485,2137,1365,345,42,1277,2075,634,59,1195,245,446,6620,2: Victoria
3103,7007,3029,1687,14,14,805,4213,4205,3146,1385,212,3287,4748,1583,145,3990,347,930,15621,2: Victoria
3104,11767,1926,457,34,6,146,1814,5617,5489,1863,306,3257,7120,1823,152,2745,292,986,21302,2: Victoria
3105,6694,1018,690,4,10,119,1007,4284,3077,623,74,2525,3210,1064,110,2129,224,659,11124,2: Victoria
3106,8865,2119,423,0,18,165,1376,3548,5614,1507,327,3668,5274,1188,112,2323,161,1028,16966,2: Victoria
3107,8174,1821,126,8,0,53,966,5076,4096,728,107,3003,4274,1299,131,2223,202,947,14164,2: Victoria
3108,10561,3896,5397,3,36,1625,7109,8082,5994,1234,186,7008,6788,2680,381,6875,807,1439,25054,2: Victoria
3109,13807,5043,3012,0,36,615,4424,10338,8446,1592,204,6409,10381,2894,284,5455,465,1546,30926,2: Victoria
3111,7492,877,250,0,0,204,1267,3094,3353,995,176,2445,3731,852,33,2005,132,797,12644,2: Victoria
3113,5485,32,8,9,0,67,274,1806,2399,802,183,1492,2734,528,12,737,77,590,8562,2: Victoria
3114,2306,0,0,0,0,0,34,508,1146,466,136,684,1266,134,8,220,16,263,3835,2: Victoria
3115,2444,0,3,0,0,14,72,649,1178,426,96,795,1194,164,12,269,24,228,3843,2: Victoria
3116,7977,120,26,0,0,41,438,3906,3010,588,162,2311,3319,927,63,1456,143,1013,11779,2: Victoria
3121,4521,9381,15215,139,186,9741,18579,10368,1942,269,64,11427,5701,2540,743,16359,4847,3275,31534,2: Victoria
3122,4720,3109,11479,74,391,5936,11247,5290,2632,784,166,6904,4985,1398,457,10786,2217,2067,22322,2: Victoria
3123,4130,2244,6086,9,190,2831,6852,3947,2003,600,84,4423,3854,1103,222,5957,1106,1257,14834,2: Victoria
3124,9505,3425,2736,96,33,750,5735,5845,4627,1549,218,5071,6396,1642,218,4873,727,1526,21965,2: Victoria
3125,6326,2893,1684,0,181,967,3199,4994,2897,653,156,3010,3425,1333,271,3937,1213,1189,15147,2: Victoria
3126,3579,1301,627,46,33,230,1551,2054,1783,695,123,1875,2352,601,51,1542,115,565,7773,2: Victoria
3127,8748,3392,1639,15,4,411,5389,5094,4044,1137,159,4338,5679,1434,189,4241,471,1376,18608,2: Victoria
3128,6767,4380,7024,14,302,3140,10664,5875,2835,655,139,6055,5256,2272,489,7628,2189,1552,22841,2: Victoria
3129,8209,4203,770,3,8,252,3513,7194,3661,799,85,3621,5464,1833,261,3744,761,1306,17946,2: Victoria
3130,17934,4526,2081,18,281,1727,5190,11868,6760,1558,203,6581,9708,2583,298,7679,998,2620,33044,2: Victoria
3131,12175,4582,558,6,23,1160,4438,8692,4258,750,120,4617,6512,2003,280,5729,729,1906,23191,2: Victoria
3132,8128,4174,623,0,0,701,3857,7002,3009,528,90,3884,5101,1436,165,4154,580,1348,16795,2: Victoria
3133,13268,2263,221,11,4,279,1813,6588,6617,1329,231,4516,6965,1715,164,3311,332,1403,22951,2: Victoria
3134,21688,1747,2037,14,65,1145,6927,9823,7382,1454,241,7087,9447,2785,250,7005,822,3072,34607,2: Victoria
3135,14262,941,90,6,10,266,3650,7050,3794,831,110,3755,5771,1650,154,4029,436,2076,20698,2: Victoria
3136,30794,3135,1176,16,36,747,8037,17160,9108,1689,223,9529,12118,4448,342,9975,902,4547,46296,2: Victoria
3137,9569,1336,119,0,6,234,2118,5899,2726,529,103,3000,3757,1481,119,3141,256,1576,14558,2: Victoria
3138,15343,697,34,5,6,299,1691,8108,4940,1070,202,4271,6286,2096,166,3255,351,2374,23059,2: Victoria
3139,9802,11,11,0,25,145,830,4883,2896,712,212,2916,3820,1035,72,1824,174,1432,14257,2: Victoria
3140,10443,2477,14,115,36,755,2944,5663,3804,818,160,3946,4457,1576,127,3999,299,1858,17348,2: Victoria
3141,1932,3364,20809,40,682,11843,17924,6091,1070,230,72,10353,3227,1668,628,19126,3240,2458,25028,2: Victoria
3142,3326,2163,5454,0,133,1579,5885,4376,1772,658,193,4585,2741,965,151,5515,816,809,12817,2: Victoria
3143,2221,1459,5021,20,108,2329,5249,2978,915,224,36,3231,1961,812,159,5007,772,795,9376,2: Victoria
3144,3932,1643,2718,297,38,1093,3725,3246,2014,516,65,3015,2808,829,132,3724,437,767,10763,2: Victoria
3145,9279,4308,3892,284,172,2289,6643,6760,4341,1213,198,5417,6571,1663,294,6564,1517,1700,23594,2: Victoria
3146,10810,3564,5386,0,18,2125,7628,7422,5095,1522,168,6008,8067,1850,339,7139,875,1853,26131,2: Victoria
3147,7256,1750,1703,80,11,803,2576,4837,3326,756,74,2801,4628,1383,143,3208,440,1330,15102,2: Victoria
3148,3988,1881,1359,0,4,542,2172,3852,1811,298,74,2289,2573,928,167,2217,705,695,9552,2: Victoria
3149,17123,2453,5353,15,14,306,3871,12701,8976,2360,352,6945,11604,3004,386,5817,1057,1923,35340,2: Victoria
3150,35206,3898,4308,0,59,1436,5944,16145,17713,4972,780,12229,18972,4815,543,9577,1397,3315,63298,2: Victoria
3151,5933,1444,641,0,10,334,1469,4184,2328,524,107,2437,2953,959,113,2176,468,639,10675,2: Victoria
3152,20150,3480,690,0,32,886,3320,9430,9640,2405,386,6882,10486,2734,249,5531,545,2500,34940,2: Victoria
3153,11404,3902,1172,3,29,662,5282,8629,3457,571,132,4531,5529,2458,250,5666,631,2352,21276,2: Victoria
3154,2926,150,6,8,3,84,279,1560,967,217,34,868,1221,351,25,639,58,509,4500,2: Victoria
3155,13370,4667,631,10,27,557,5627,10365,3704,647,141,5355,5833,2709,289,6418,741,2606,23660,2: Victoria
3156,25110,2060,449,59,8,613,4034,13158,8352,2081,397,7229,10754,3492,294,6526,687,3694,38484,2: Victoria
3158,4751,15,40,0,0,64,500,2134,1631,393,54,1318,1980,577,28,839,100,715,6818,2: Victoria
3159,1695,3,0,0,0,32,116,700,613,186,36,476,754,183,12,234,46,271,2593,2: Victoria
3160,6282,105,18,7,9,201,688,2785,2101,500,142,1765,2477,767,50,1274,146,1057,9024,2: Victoria
3161,4894,3279,5347,10,75,2403,6842,4863,2421,807,206,4986,4288,1183,204,5998,1217,1283,16903,2: Victoria
3162,6730,4515,2192,35,0,1120,4812,6241,3552,816,131,4582,5474,1406,160,4540,695,1617,18075,2: Victoria
3163,9349,8221,10490,126,151,6765,16022,9650,3774,698,141,9747,8947,2490,568,13591,2302,2778,32810,2: Victoria
3165,14946,3054,3572,42,34,571,4789,11287,6796,1085,137,5526,10272,2924,267,5385,554,2055,30159,2: Victoria
3166,11589,3879,3249,13,62,1320,7167,8764,3830,730,166,5634,6785,2159,441,5786,1501,2050,24753,2: Victoria
3167,5985,731,440,0,0,186,1613,3587,1863,302,82,1946,2905,794,104,1674,310,647,9851,2: Victoria
3168,5281,5409,3594,3,153,1621,6597,6445,2715,640,322,4454,3542,1395,671,5090,3655,1364,21880,2: Victoria
3169,9873,3744,1086,0,33,628,3998,8376,3102,610,98,4138,5663,1978,351,3792,1200,1400,20820,2: Victoria
3170,11385,2256,33,7,0,92,882,7858,4812,868,118,3820,5963,1629,224,2668,532,1155,19889,2: Victoria
3171,9948,2889,1275,200,46,1463,3622,7487,2566,697,191,3631,5210,2179,493,3888,1097,1034,22174,2: Victoria
3172,12701,2187,244,123,60,168,2651,7705,4549,924,196,3843,6388,2241,244,3381,425,1282,23261,2: Victoria
3173,16298,1714,203,0,15,142,1279,7943,7654,1702,219,4132,9140,2475,261,2663,471,1424,30018,2: Victoria
3174,19077,3583,4656,6,80,2146,8988,14818,3944,740,198,6769,9655,4264,704,8503,1590,2558,39693,2: Victoria
3175,21884,9348,4257,158,118,2136,15230,16565,5878,1264,282,8543,13514,5702,726,11619,2501,3924,53545,2: Victoria
3177,6341,1693,21,13,10,468,2051,5093,855,164,35,1576,2664,1317,174,2546,668,942,11889,2: Victoria
3178,20940,1648,189,4,7,180,2154,9134,9890,1916,216,6255,10595,2362,222,3900,395,2315,33571,2: Victoria
3179,4000,120,24,0,0,26,192,2132,1445,338,32,993,1793,518,36,744,113,413,6066,2: Victoria
3180,4513,1151,14,0,0,46,749,3389,1691,272,63,1750,2217,700,65,1388,151,623,7645,2: Victoria
3181,3187,4678,11720,62,369,7844,12382,5514,1158,197,69,7247,3021,1190,433,12941,3043,2118,19636,2: Victoria
3182,1375,2840,18381,924,1036,12070,15731,3680,991,195,90,8629,3202,1493,331,18266,2748,2744,22438,2: Victoria
3183,2940,2622,10252,50,176,4311,11314,4282,1277,418,191,5417,3892,1224,277,9316,2189,1966,17964,2: Victoria
3184,2066,1974,10472,0,144,4489,10626,3948,1055,230,36,4928,3364,1368,223,9434,1411,1479,15153,2: Victoria
3185,4066,2125,5020,90,41,2499,6204,3851,1637,422,80,3792,3468,1071,166,5568,870,1164,13433,2: Victoria
3186,10272,4019,3544,111,10,1221,6834,7289,4461,1456,239,6323,6442,1868,170,6590,431,1470,23252,2: Victoria
3187,8157,2866,954,28,100,643,2893,5096,3909,980,128,3312,5230,1331,95,3701,259,1185,16757,2: Victoria
3188,8495,3171,2253,101,20,1006,4961,5905,3732,852,120,4119,5623,1599,123,4908,409,1422,18587,2: Victoria
3189,3703,413,692,15,19,388,1411,2281,983,178,45,1264,1754,579,71,1504,218,513,6287,2: Victoria
3190,5146,2755,1663,84,3,693,4608,4251,1888,249,36,2936,3507,1268,97,3749,334,1058,12007,2: Victoria
3191,4258,1908,2290,40,74,1072,3298,3370,2078,556,63,3010,3025,847,42,3513,207,814,10926,2: Victoria
3192,11154,4315,3493,67,36,962,8010,9189,3757,637,103,5452,6947,2516,254,7169,632,2075,24129,2: Victoria
3193,10603,3232,903,140,5,277,3181,6977,5044,1208,105,5289,6183,1369,109,3927,172,1178,20207,2: Victoria
3194,4959,4185,2046,64,19,1899,4996,4684,2188,437,74,3729,3606,1468,126,5183,329,1181,13221,2: Victoria
3195,16483,7349,3523,75,52,1676,8283,12514,8319,1523,214,7821,12017,3368,261,8840,594,2781,37364,2: Victoria
3196,10342,5791,5381,292,20,910,9692,11912,3912,615,92,6846,7497,3063,259,9156,750,2662,26876,2: Victoria
3197,5305,3018,1399,18,23,298,3242,5212,2470,444,64,3124,3303,1433,60,3735,288,980,12032,2: Victoria
3198,10585,3329,352,83,63,852,4261,8145,2198,363,55,3586,3805,2191,227,5933,536,2004,17215,2: Victoria
3199,34030,7775,2090,91,339,2218,11617,21573,10435,1761,324,11634,12202,6780,491,16288,1624,6801,56127,2: Victoria
3200,4002,289,0,0,0,230,343,3333,380,50,18,784,836,911,98,1562,245,1011,5711,2: Victoria
3201,13126,3270,68,131,48,528,2688,10530,3678,499,66,4064,5409,2830,222,5259,570,2575,21976,2: Victoria
3202,1580,201,140,0,0,129,303,941,659,44,12,434,872,250,22,475,48,192,2826,2: Victoria
3204,13849,5378,5299,102,56,1983,9980,9911,6416,1226,178,6873,10606,3319,310,7802,1138,2402,33130,2: Victoria
3205,521,3928,6500,90,196,3598,7568,3890,758,86,14,4550,2414,1128,226,7099,958,1140,11548,2: Victoria
3206,1438,5020,1796,30,62,1300,3968,4382,1586,266,47,3166,3371,912,105,3830,354,695,10043,2: Victoria
3207,930,6873,7817,28,114,3488,9582,7777,1570,190,31,6503,4713,1943,219,8691,933,1382,17633,2: Victoria
3211,810,0,0,0,0,8,43,314,321,82,26,216,347,85,0,129,28,91,1353,2: Victoria
3212,11528,1190,106,5,0,320,1709,5673,5025,514,97,3692,4883,1524,117,2979,306,1954,19272,2: Victoria
3213,2897,80,85,0,0,24,326,966,1419,278,84,862,1364,311,18,542,60,316,4753,2: Victoria
3214,16498,1763,205,125,39,1212,3987,11609,2028,181,48,3748,3977,3842,400,6805,924,3609,24500,2: Victoria
3215,14900,2171,569,55,31,822,3823,10016,3523,531,86,4995,4679,2251,216,6264,718,2495,21994,2: Victoria
3216,37961,6343,237,362,96,1967,9419,20959,12790,2071,400,12888,14131,4556,486,14312,2098,6417,60123,2: Victoria
3217,13353,462,0,55,21,56,440,4251,8696,464,80,3754,5621,1586,152,2189,838,2219,20499,2: Victoria
3218,9462,1206,1917,112,57,1647,3748,5930,2378,280,48,3297,3577,1256,106,5376,680,1599,14942,2: Victoria
3219,14482,2490,288,5,33,1392,4554,9602,2391,329,60,4469,3529,2432,255,7092,888,2977,20309,2: Victoria
