,Postcode,State,Latitude,Longitude,Remoteness Area
127,2115,NSW,-33.813106,151.059845,3
128,2116,NSW,-33.814368,151.036941,3
129,2117,NSW,-33.797127,151.04218,3
130,2118,NSW,-33.775596,151.043518,2
131,2119,NSW,-33.755499,151.064176,3
132,2120,NSW,-33.731105,151.07359,2
133,2121,NSW,-33.774145,151.079919,2
134,2122,NSW,-33.791357,151.092072,3
135,2125,NSW,-33.752645,151.031807,2
136,2126,NSW,-33.724898,151.043941,2
137,2127,NSW,-33.85283,151.076186,2
138,2128,NSW,-33.835928,151.047591,3
139,2130,NSW,-33.892783,151.135883,3
140,2131,NSW,-33.887602,151.124008,2
141,2132,NSW,-33.882419,151.113385,3
142,2133,NSW,-33.898793,151.102087,3
143,2134,NSW,-33.880049,151.101757,2
144,2135,NSW,-33.881009,151.084759,2
145,2136,NSW,-33.892944,151.087741,3
146,2137,NSW,-33.85749,151.103751,3
147,2138,NSW,-33.846098,151.086036,2
148,2140,NSW,-33.835018,151.070853,3
149,2141,NSW,-33.872483,151.044768,3
150,2142,NSW,-33.832747,151.015196,3
151,2143,NSW,-33.885382,151.021934,3
152,2144,NSW,-33.851868,151.026756,3
153,2145,NSW,-33.79382308,150.9751544,3
154,2146,NSW,-33.789374,150.959508,3
155,2147,NSW,-33.766075,150.935836,3
156,2148,NSW,-33.783751,150.900547,3
157,2150,NSW,-33.814463,151.006506,3
158,2151,NSW,-33.78709,151.012511,3
159,2152,NSW,-33.782501,150.996388,3
160,2153,NSW,-33.731651,150.955942,3
161,2154,NSW,-33.73238,151.000948,3
162,2155,NSW,-33.731523,150.931074,4
163,2156,NSW,-33.656984,150.974528,3
164,2157,NSW,-33.602167,150.991055,3
165,2158,NSW,-33.690331,151.040358,3
166,2159,NSW,-33.539148,151.084146,3
167,2160,NSW,-33.835883,150.976594,3
168,2161,NSW,-33.858335,150.983724,3
169,2162,NSW,-33.88349,151.004128,3
170,2163,NSW,-33.887203,150.979458,3
171,2164,NSW,-33.844153,150.875028,3
172,2165,NSW,-33.872435,150.947496,3
173,2166,NSW,-33.892738,150.92937,3
174,2167,NSW,-33.972167,150.890441,3
175,2168,NSW,-33.915939,150.875345,3
176,2170,NSW,-33.928392,150.921448,3
177,2171,NSW,-33.93771581,150.8487366,3
178,2172,NSW,-33.951109,150.917444,3
179,2173,NSW,-34.074239,150.919554,3
180,2174,NSW,-33.977497,150.856709,3
181,2175,NSW,-33.845034,150.848192,3
182,2176,NSW,-33.872014,150.88526,3
183,2177,NSW,-33.895053,150.879379,2
184,2178,NSW,-33.87478,150.838225,3
185,2179,NSW,-33.933109,150.812031,3
186,2190,NSW,-33.901925,151.053858,3
187,2191,NSW,-33.906803,151.085513,3
188,2192,NSW,-33.921018,151.089663,3
189,2193,NSW,-33.910308,151.12086,3
190,2194,NSW,-33.917601,151.101777,3
191,2195,NSW,-33.924525,151.076939,3
192,2196,NSW,-33.930089,151.057799,3
193,2197,NSW,-33.901198,150.998155,3
194,2198,NSW,-33.908788,150.986277,3
195,2199,NSW,-33.905586,151.023171,3
196,2200,NSW,-33.926559,151.014937,3
197,2203,NSW,-33.90441,151.138999,3
198,2204,NSW,-33.912288,151.155539,3
199,2205,NSW,-33.937551,151.147956,3
200,2206,NSW,-33.926056,151.122881,3
201,2207,NSW,-33.948744,151.119517,3
202,2208,NSW,-33.942632,151.098002,3
203,2209,NSW,-33.94913,151.075304,3
204,2210,NSW,-33.957725,151.052257,3
205,2211,NSW,-33.961366,151.03221,3
206,2212,NSW,-33.947286,151.014547,3
207,2213,NSW,-33.964102,150.997836,3
208,2214,NSW,-33.941443,150.981592,3
209,2216,NSW,-33.955393,151.148204,3
210,2217,NSW,-33.974354,151.140345,3
211,2218,NSW,-33.973161,151.117453,3
212,2219,NSW,-33.996587,151.132495,3
213,2220,NSW,-33.966692,151.101764,3
214,2221,NSW,-33.992159,151.10599,3
215,2222,NSW,-33.964713,151.084774,3
216,2223,NSW,-33.980264,151.071837,3
217,2224,NSW,-34.01362,151.101891,3
218,2225,NSW,-33.997441,151.087892,3
219,2226,NSW,-34.009345,151.063808,3
220,2227,NSW,-34.04984,151.085005,3
221,2228,NSW,-34.037692,151.101564,3
222,2229,NSW,-34.05494,151.120091,3
223,2230,NSW,-34.093213,151.136596,3
224,2231,NSW,-34.029927,151.193492,3
225,2232,NSW,-34.061753,151.064329,3
226,2233,NSW,-34.114626,151.027919,3
227,2234,NSW,-34.021938,151.004412,3
228,2250,NSW,-33.325373,151.189243,3
229,2251,NSW,-33.482209,151.401999,3
230,2256,NSW,-33.482123,151.331154,3
231,2257,NSW,-33.520358,151.374403,3
232,2258,NSW,-33.333187,151.3433,3
233,2259,NSW,-33.208801,151.377213,3
234,2260,NSW,-33.42537,151.436939,3
235,2261,NSW,-33.315827,151.519708,3
236,2262,NSW,-33.209125,151.528042,3
237,2263,NSW,-33.285097,151.556223,3
238,2264,NSW,-33.106675,151.533807,3
239,2265,NSW,-33.095552,151.412119,3
240,2267,NSW,-33.086545,151.591728,3
241,2278,NSW,-32.932412,151.590415,3
242,2280,NSW,-33.019715,151.663175,3
243,2281,NSW,-33.089963,151.668857,3
244,2282,NSW,-32.987279,151.651275,3
245,2283,NSW,-33.019117,151.57181,3
246,2284,NSW,-32.953236,151.621183,3
247,2285,NSW,-32.933305,151.651095,3
248,2286,NSW,-32.923321,151.532669,3
249,2287,NSW,-32.892577,151.65807,3
250,2289,NSW,-32.948567,151.71008,3
251,2290,NSW,-32.983963,151.707801,3
252,2291,NSW,-32.951039,151.742882,3
253,2292,NSW,-32.931589,151.740716,3
254,2293,NSW,-32.917776,151.754696,3
255,2294,NSW,-32.915791,151.767408,3
256,2295,NSW,-32.879469,151.80174,3
257,2296,NSW,-32.915698,151.746237,3
258,2297,NSW,-32.909135,151.750126,3
259,2298,NSW,-32.905633,151.722243,3
260,2299,NSW,-32.903131,151.690858,3
261,2300,NSW,-32.931635,151.778021,3
262,2302,NSW,-32.931265,151.752466,3
263,2303,NSW,-32.924571,151.743325,3
264,2304,NSW,-32.880319,151.73862,3
265,2305,NSW,-32.930221,151.706545,3
266,2306,NSW,-32.993286,151.682517,3
267,2307,NSW,-32.88365,151.688102,3
268,2308,NSW,-32.892884,151.697356,3
269,2311,NSW,-32.3438,151.522527,3
270,2312,NSW,-32.16165072,152.3722113,3
271,2315,NSW,-32.746224,152.193698,3
272,2316,NSW,-32.776919,152.083274,3
273,2317,NSW,-32.720937,152.076399,3
274,2318,NSW,-32.769906,151.851897,3
275,2319,NSW,-32.730927,152.039551,3
276,2320,NSW,-32.741737,151.543675,3
277,2321,NSW,-32.660186,151.683702,3
278,2322,NSW,-32.819819,151.65415,3
279,2323,NSW,-32.757616,151.607554,3
280,2324,NSW,-32.623108,152.332617,3
281,2325,NSW,-32.977861,151.317476,3
282,2326,NSW,-32.785207,151.453148,3
283,2327,NSW,-32.820688,151.486212,3
284,2328,NSW,-32.57693,150.564817,3
285,2329,NSW,-32.047498,150.187517,3
286,2330,NSW,-32.760486,150.972137,3
287,2331,NSW,-32.7441932,151.1591424,3
288,2333,NSW,-32.248568,150.701949,3
289,2334,NSW,-32.728461,151.385451,3
290,2335,NSW,-32.642118,151.319414,3
291,2336,NSW,-32.14622,151.102917,3
292,2337,NSW,-31.966754,151.080412,3
293,2338,NSW,-31.735174,151.029159,3
294,2339,NSW,-31.735738,150.603274,3
295,2340,NSW,-31.333592,151.138322,3
296,2341,NSW,-31.34664,150.611053,4
297,2342,NSW,-31.155223,150.54907,4
298,2343,NSW,-31.505932,150.372784,4
299,2344,NSW,-31.17375,150.729574,4
300,2345,NSW,-30.864342,150.875031,4
301,2346,NSW,-30.60226666,150.5206378,4
302,2347,NSW,-30.281899,150.523163,4
303,2350,NSW,-30.493397,151.906153,4
304,2352,NSW,-31.088119,151.246189,3
305,2353,NSW,-30.973619,151.095609,3
306,2354,NSW,-31.145898,151.762627,3
307,2355,NSW,-30.775229,151.154222,3
308,2356,NSW,-30.619798,148.96949,3
309,2357,NSW,-31.51588428,149.781025,3
310,2358,NSW,-30.540297,151.297519,3
311,2359,NSW,-30.3248214,150.9955739,3
312,2360,NSW,-29.630052,151.162025,3
313,2361,NSW,-29.198493,151.141751,3
314,2365,NSW,-30.115913,151.673028,3
315,2369,NSW,-29.985367,151.265077,3
316,2370,NSW,-29.736171,151.869397,3
317,2371,NSW,-29.36625,151.814675,3
318,2372,NSW,-28.96166715,151.7288939,3
319,2379,NSW,-31.126265,149.754627,4
320,2380,NSW,-31.046117,150.199154,4
321,2381,NSW,-31.244175,150.457901,4
322,2382,NSW,-30.595044,150.17806,3
323,2386,NSW,-30.07897,148.924417,3
324,2387,NSW,-29.79568858,149.1822101,4
325,2388,NSW,-30.427329,149.001543,3
326,2390,NSW,-30.413331,149.767538,3
327,2395,NSW,-31.584172,149.440922,3
328,2396,NSW,-30.777381,148.984063,3
329,2397,NSW,-29.925739,149.690988,3
330,2398,NSW,-29.741061,149.795738,3
331,2399,NSW,-29.409325,150.222662,3
