,Dwelling Type,Dwelling Type,Dwelling Type,Dwelling Type,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Household Composition,Household Composition,Household Composition,Household Composition,Household Composition,Household Composition
,House,Semi-detached,Apartment,Other dwelling,"No bedrooms (studios, etc)",1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 bedrooms,6 or more bedrooms,Couple with no children,Couple with children,One parent with children,Other family,Sole person household,Group household
Postcode,,,,,,,,,,,,,,,,,
2312,1404,8,0,5,16,40,130,447,332,74,28,369,298,154,8,200,40
2315,9770,3148,1107,53,13,478,2989,6305,4010,781,136,5525,2806,1520,78,4619,400
2316,5378,608,23,67,8,120,1188,2280,1366,298,109,2012,1337,532,31,1419,123
2317,4084,1430,406,134,13,237,1521,2841,1555,326,41,2383,1168,662,64,2354,127
2318,12625,284,29,15,10,100,1025,2833,4328,823,236,3042,3474,1064,54,1706,126
2319,6004,381,33,41,13,128,712,2944,1617,246,40,1929,1190,760,45,1646,196
2320,34551,1987,350,151,62,911,3570,10163,11685,1954,421,7813,9672,3970,286,6743,684
2321,17911,938,76,172,16,168,1941,4068,7117,867,209,4408,5283,1696,115,2860,270
2322,22436,809,128,82,21,392,1821,6972,7232,938,187,4826,6227,2419,224,3627,567
2323,21992,2199,622,16,65,1156,3823,8989,6304,1037,181,5600,5838,2981,232,6623,559
2324,21112,1766,210,406,133,682,3903,8572,6030,941,242,6786,4587,2835,224,6033,620
2325,25583,1672,218,64,67,989,4355,10054,5768,1019,280,5837,5904,3884,246,6416,605
2326,7267,138,40,18,6,216,999,2766,1265,295,62,1437,1734,914,90,1384,155
2327,6600,571,160,0,28,312,1627,3300,1031,176,35,1516,1512,1152,79,2178,181
2328,2142,115,33,17,21,45,365,802,571,128,46,582,562,218,22,627,35
2329,1826,38,3,4,6,52,248,644,442,104,24,483,393,163,12,466,38
2330,18415,1110,347,167,44,540,2148,6190,5622,1048,240,4283,5282,1862,144,4160,401
2331,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2333,11699,792,62,43,21,417,1358,4212,3701,675,115,2719,2928,1413,115,3234,307
2334,3113,82,6,3,0,31,231,947,947,144,30,588,895,281,13,511,68
2335,7407,324,32,10,4,82,438,1996,2570,452,82,1599,2220,714,45,1003,81
2336,2290,59,14,49,8,67,325,927,587,132,8,689,573,183,6,620,48
2337,6887,542,46,34,8,249,1047,2596,2003,416,83,1938,1824,636,45,1896,220
2338,1222,10,3,17,6,70,173,598,254,37,17,410,234,77,0,445,31
2339,629,0,0,0,0,22,70,238,152,16,8,178,148,52,14,130,21
2340,44011,3316,637,112,166,1752,7098,15746,12990,2391,525,10992,10755,5351,477,12494,1352
2341,1317,15,14,12,0,48,280,635,203,36,0,335,213,181,34,449,29
2342,423,14,0,0,0,10,32,127,105,28,10,98,124,18,8,74,10
2343,4095,69,41,15,16,83,527,1706,1037,173,53,1131,878,403,40,1149,87
2344,640,0,0,0,0,8,38,164,232,54,0,216,142,32,0,102,6
2345,656,0,0,9,4,16,53,245,148,43,14,184,163,40,8,140,10
2346,2619,52,0,20,10,69,403,1184,529,128,36,661,503,339,43,819,55
2347,1613,16,11,13,10,53,302,818,341,54,18,503,270,147,28,636,46
2350,20467,1841,747,61,63,1201,4319,8206,5418,1381,359,5873,4942,2259,198,7086,889
2352,2728,51,10,6,6,26,221,1059,745,106,34,662,672,304,8,528,48
2353,957,0,28,22,8,50,130,395,207,49,6,271,216,90,15,274,14
2354,2988,6,45,18,14,126,456,1185,711,159,48,1037,641,165,26,868,36
2355,579,0,0,0,0,47,107,216,118,24,3,184,102,39,0,182,18
2356,101,0,0,0,0,0,20,42,24,0,0,14,16,8,0,34,8
2357,3235,4,81,13,28,133,437,1353,749,163,58,934,598,382,30,960,56
2358,3280,80,25,48,17,126,501,1420,699,147,65,955,677,379,28,941,62
2359,602,0,0,0,4,18,70,216,106,30,8,162,124,40,10,110,16
2360,12370,713,76,62,66,556,1815,5009,3074,642,130,3437,2681,1474,136,3622,328
2361,798,12,4,6,0,38,113,338,160,42,15,256,139,67,8,239,17
2365,3127,39,22,30,28,76,400,1164,824,150,42,858,668,238,32,887,95
2369,783,0,0,12,0,35,134,284,147,22,6,189,120,126,18,181,21
2370,6375,235,84,69,36,377,1178,2932,1474,220,81,1955,1213,714,60,2385,162
2371,983,0,6,7,24,94,213,431,190,31,0,360,148,62,0,392,22
2372,4138,47,91,34,49,229,752,1881,961,159,39,1517,664,387,22,1505,106
2379,258,5,0,4,8,0,26,65,58,14,4,47,83,16,0,39,10
2380,9396,561,110,25,40,215,1457,3486,2613,449,115,2194,2352,998,113,2629,272
2381,1157,0,0,0,0,31,122,384,272,76,10,277,256,126,8,213,26
2382,1145,29,0,4,0,54,162,446,236,56,29,308,257,91,6,323,32
2386,243,0,0,0,0,10,32,68,48,18,12,74,56,6,0,44,18
2387,167,0,0,0,0,6,16,58,22,14,14,48,34,0,0,28,6
2388,1999,84,6,17,12,82,316,718,506,131,22,448,475,230,9,593,56
2390,7142,444,33,31,32,267,1186,2682,1816,339,104,1943,1723,709,65,1951,184
2395,627,14,0,4,8,29,124,271,109,30,14,193,101,52,10,243,16
2396,677,6,5,5,0,23,145,276,163,11,0,184,132,66,6,226,22
2397,241,0,0,5,0,8,37,100,43,18,0,57,52,14,0,67,6
2398,175,0,0,0,0,0,6,36,38,14,8,49,40,10,0,19,0
2399,397,66,0,7,0,17,57,161,92,31,18,152,107,44,4,84,6
2400,6925,722,103,43,59,308,1245,2747,1831,341,100,1835,1699,840,100,2145,230
2401,290,0,0,0,0,4,22,88,74,16,12,56,70,28,0,51,0
2402,1512,12,11,15,10,67,230,641,314,60,14,429,282,152,14,478,44
2403,577,7,0,0,0,16,58,228,129,28,6,171,126,62,0,106,0
2404,1458,24,0,20,10,61,313,651,266,68,26,541,219,170,16,479,36
2405,315,0,0,11,0,11,26,112,80,22,5,72,85,15,0,88,8
2406,550,36,0,4,8,48,78,203,150,28,16,139,96,62,12,206,13
2408,229,0,0,0,0,0,8,58,61,29,14,66,60,8,0,50,0
2409,726,0,18,16,0,18,95,143,174,46,21,100,128,124,6,149,8
2410,187,0,0,7,0,14,23,80,38,6,0,59,40,6,6,48,0
2411,75,0,0,7,0,0,3,17,26,0,0,18,26,0,0,10,0
2415,374,0,0,0,0,8,60,128,68,12,0,110,92,22,0,68,8
2420,3626,72,9,10,16,131,644,1441,798,155,59,1053,778,352,31,1019,67
2421,1914,0,0,0,0,49,131,477,530,156,40,492,560,105,14,263,14
2422,4990,113,44,41,49,220,808,2144,1219,205,51,1739,888,487,40,1535,113
2423,2867,16,15,41,30,90,395,1210,634,101,34,937,482,297,20,755,89
2424,422,0,0,0,12,38,48,155,59,20,12,96,87,56,6,98,12
2425,1774,16,3,15,14,54,235,594,404,82,25,464,450,104,14,383,24
2426,773,0,13,12,6,16,104,281,133,30,9,185,153,80,18,150,38
2427,2762,216,109,159,16,151,600,1501,1056,58,16,1656,375,282,29,1146,57
2428,17139,2899,2683,349,114,1447,7136,10796,4654,817,164,8763,3638,2616,206,9856,771
2429,8710,127,87,38,65,362,1235,3568,1834,358,120,2449,1748,1001,63,2279,215
2430,30192,1978,1142,346,166,1445,6268,12632,7920,1440,335,9760,6161,3962,324,10150,935
2431,4548,206,437,33,9,130,1195,2445,1171,159,28,2049,816,512,38,1686,166
2439,3813,34,5,0,9,49,643,1159,864,186,42,1312,739,333,16,666,72
2440,19078,320,547,193,147,870,3306,7515,3665,727,203,4741,3700,2683,263,5049,571
2441,3926,7,28,24,26,147,616,1335,733,158,80,1025,806,382,30,856,110
2443,6478,843,348,332,35,470,2203,3613,1388,267,54,3362,1122,736,42,3395,230
2444,36271,6459,4790,203,126,2540,12596,18931,10862,2164,373,14824,9876,5359,404,16427,1679
2445,6731,187,94,16,13,99,1052,2059,2232,344,74,2351,1473,570,30,1368,97
2446,13374,613,80,40,35,256,1640,4642,3509,738,217,3573,3161,1518,95,2612,291
2447,6795,159,90,124,60,236,915,2797,1612,291,64,1994,1443,753,64,1787,165
2448,7307,689,543,130,87,653,2641,3421,1596,333,78,2679,1414,1001,107,3645,284
2449,1906,36,13,14,24,75,313,790,351,42,16,480,325,267,24,492,63
2450,34227,4261,4123,546,220,2236,8947,15032,9894,2264,583,11525,9600,5046,353,12219,1487
2452,11552,1699,995,100,61,454,3338,6148,2891,510,95,3691,2977,2008,149,4544,441
2453,2441,44,15,36,37,159,450,1089,506,83,24,843,438,206,12,851,67
2454,6924,161,35,76,55,397,1037,2466,1501,305,87,1758,1554,801,52,1578,228
2455,2477,164,183,64,22,160,753,1174,548,113,34,925,471,379,16,1013,115
2456,14879,805,246,247,83,554,2479,4886,3846,734,208,4139,3555,1583,108,3257,541
2460,25161,988,940,411,193,1346,4356,10530,5853,1252,294,7116,5359,3331,306,7610,842
2462,2119,34,41,99,26,147,494,889,421,83,10,776,398,235,22,661,63
2463,7199,199,84,121,43,269,858,2925,1975,301,64,2486,1523,650,71,1748,168
2464,5216,835,284,79,13,208,1719,3207,1252,166,32,2526,1103,637,43,2211,216
2465,332,0,0,0,8,6,43,116,84,6,0,70,64,48,0,77,18
2466,1268,201,56,111,13,131,601,783,230,50,0,715,168,175,19,746,76
2469,3505,6,11,134,104,356,706,1310,671,96,47,1223,572,354,50,1167,118
2470,12996,554,339,114,88,461,2351,5271,3001,516,135,3501,2790,1658,145,3789,321
2471,2353,41,6,17,13,38,268,837,468,118,36,573,537,233,26,397,79
2472,1628,48,8,87,34,141,314,650,280,47,16,453,390,173,12,449,75
2473,1963,738,138,90,35,206,1028,1285,542,119,18,1102,528,353,26,1248,91
2474,5632,18,124,67,86,340,1188,2258,1143,174,53,1624,1032,665,42,1792,184
2475,349,0,0,3,6,30,66,119,72,14,6,106,60,36,0,121,12
2476,712,3,0,23,23,47,137,276,138,34,6,255,102,73,6,257,16
2477,10760,1118,257,96,33,360,2022,4363,3021,610,156,3370,2753,1282,99,3032,304
2478,21776,6028,1342,473,100,1276,7355,12172,6617,1260,233,8869,6585,3442,252,9481,1231
2479,5052,61,40,22,28,257,510,1478,1146,276,106,1213,1318,387,20,741,203
2480,37499,2724,1348,369,430,2334,7734,15537,8961,1890,451,9709,8593,5293,385,12481,1777
2481,8706,2152,571,274,215,1162,2062,4326,2293,537,168,3009,2376,1068,71,3302,1327
2482,5644,117,173,60,86,533,1016,2000,1015,242,67,1225,1258,716,36,1473,365
2483,9156,588,550,197,132,740,1626,4152,2023,371,101,2418,2188,1313,83,2731,746
2484,16639,427,748,149,236,861,3062,6166,3643,796,228,4366,3842,2113,152,4352,512
2485,6205,3521,4114,45,88,1085,8657,5814,1440,288,69,5097,2595,2001,189,7001,935
2486,22593,6617,1268,146,107,1571,5901,12913,7073,1396,336,8879,6818,3776,348,9125,999
2487,9956,1797,1527,630,57,1016,3504,4539,2872,774,136,4071,3561,1327,72,3971,461
2488,2286,691,216,4,13,124,592,1480,548,115,22,777,869,406,19,789,108
2489,5789,974,344,125,43,220,981,2781,1965,279,35,2001,1935,716,36,1618,113
2490,642,0,0,0,0,26,52,234,114,42,10,152,164,38,12,82,22
2500,17784,4171,17165,252,258,4709,20509,14806,4532,1165,366,12747,8346,3827,604,16469,5096
2502,9597,976,1164,33,29,695,2209,4900,1770,374,115,2177,2692,1692,136,3288,318
2505,3987,250,483,17,23,329,1216,1802,810,159,23,978,1056,703,57,1512,138
2506,6779,149,389,0,35,315,993,3071,1256,178,70,1360,1598,1095,51,1781,186
2508,7904,215,712,43,0,105,890,2854,2005,541,125,1776,2993,610,37,1014,100
2515,9694,858,622,32,14,264,1670,3667,2477,679,148,2747,3373,771,53,1891,220
2516,5648,424,431,26,15,240,991,1928,1439,396,106,1196,2109,519,48,1204,82
2517,9715,1750,1602,51,7,495,3083,5115,2704,592,105,2999,3792,1490,82,3633,250
2518,12593,4331,1741,113,68,1303,6352,7631,2933,715,143,4483,4637,2664,240,6678,759
2519,12464,2501,1362,83,20,849,3809,6076,3107,931,190,3827,4164,1872,167,4366,804
2525,10443,862,326,221,44,336,1084,3673,2994,812,130,2297,3612,944,85,2089,257
2526,14762,753,402,26,11,374,1542,5006,3977,999,202,3301,4587,1410,127,2636,253
2527,22218,2624,123,9,17,208,1929,8385,7027,1354,260,5489,7000,2643,215,3698,392
2528,18853,1610,1266,521,64,1288,4408,9743,3773,723,155,5256,4550,3370,268,6985,523
2529,23097,3806,864,40,15,642,2951,8757,8339,1663,230,6546,7984,2833,215,4816,493
2530,30811,2370,355,19,60,641,2769,12525,8490,1592,335,7322,8831,3718,242,6065,544
2533,12989,1911,1109,64,49,454,2545,5865,4280,993,212,5316,4115,1145,126,3610,265
2534,4604,499,136,36,0,190,704,1614,1552,346,79,1578,1335,355,39,1131,108
2535,6431,579,63,333,22,279,1651,2465,1931,421,122,2883,1410,498,56,2219,143
2536,14854,1263,1129,184,59,636,3523,7181,4325,890,207,6043,2958,1937,139,5721,445
2537,10783,682,98,207,59,436,2180,4736,2807,544,121,4196,2111,1021,95,3518,289
2538,2165,44,22,30,19,117,260,653,606,150,34,750,479,148,23,462,37
2539,17150,888,236,475,67,477,2938,7716,4968,872,172,6464,3484,1840,121,5443,429
2540,40838,2001,514,442,136,994,6365,15570,12132,2412,577,13827,8785,4036,286,11117,1051
2541,22601,2208,579,25,39,1195,4502,9565,6313,1048,208,5989,5179,3345,322,7633,810
2545,949,0,6,24,8,60,135,410,201,32,0,362,166,82,6,224,21
2546,7893,474,372,233,68,530,2200,3866,1771,350,86,3517,1392,765,40,3275,239
2548,5848,913,776,21,47,393,2121,3603,1700,292,68,2990,1383,659,55,3050,234
2549,3440,216,41,18,16,136,815,1308,760,181,34,1171,830,279,10,932,87
2550,14761,485,117,174,212,761,2660,5777,3333,610,178,4635,3155,1468,77,4226,342
2551,2798,248,76,114,27,181,780,1388,637,101,37,1078,539,355,27,1166,113
2555,144,0,0,0,0,0,6,46,36,10,0,22,36,16,0,8,8
2556,2229,9,15,0,0,16,58,342,621,186,112,383,580,147,10,208,41
2557,18972,355,67,0,12,154,361,2021,7979,1229,243,2889,6331,1257,106,1341,213
2558,10025,565,44,0,0,59,309,3911,2344,466,143,1633,2988,1287,108,1155,164
2559,1427,1140,45,0,0,22,235,943,686,92,24,202,682,635,13,456,59
2560,65880,6664,5128,27,261,2136,11105,25506,16493,4092,1054,13780,20328,9925,883,15099,1679
2563,237,0,0,7,0,0,6,66,52,16,10,32,48,26,10,38,6
2564,9899,3253,152,0,19,227,2083,5795,1885,328,75,1705,3993,2039,161,2444,227
2565,24446,4613,961,5,54,344,3538,7708,7642,1949,408,4533,10056,2716,246,3965,431
2566,24065,1982,457,0,8,251,2180,8674,5292,1261,362,3601,7949,2790,287,3313,377
2567,38855,1006,106,0,34,275,610,6521,14007,3404,577,5359,12799,3457,238,3419,393
2568,991,60,0,0,8,0,290,169,216,98,42,321,278,25,0,195,8
2569,1259,34,5,0,0,12,57,232,387,100,55,259,378,75,12,133,6
2570,56826,3488,519,119,76,1559,3164,8949,22903,4334,976,10503,19003,4941,291,7099,670
2571,12199,163,108,36,14,231,605,2238,3895,1142,338,2398,3817,805,52,1415,105
2572,4812,235,17,13,13,162,540,1163,1588,332,95,1247,1284,442,24,908,44
2573,5194,293,50,3,0,69,463,1624,1624,288,78,960,1411,705,30,1013,102
2574,5409,144,56,54,25,93,463,1301,1475,481,166,1171,1484,443,30,924,50
2575,16095,305,376,61,62,421,1680,4803,4925,1038,282,3930,4294,1395,115,3344,355
2576,11743,1241,211,28,18,363,1869,4253,4328,1152,286,4613,2715,944,85,3825,224
2577,14778,499,193,140,41,490,1749,4766,4501,1030,339,4400,3522,1317,108,3593,286
2578,2565,28,26,13,0,78,279,999,851,166,36,993,435,204,6,765,42
2579,4287,9,0,9,25,116,384,1121,1244,338,86,1217,993,272,20,806,72
2580,26026,1721,517,157,109,1234,4371,10454,6996,1366,415,7159,6258,2912,229,8213,651
2581,2241,13,7,8,11,49,216,639,575,155,59,555,648,129,9,367,22
2582,12223,328,120,23,40,226,1175,3412,3611,964,272,3018,3492,928,57,2187,133
2583,4073,68,9,27,22,121,517,1593,1122,235,47,1317,884,308,25,1201,46
2584,490,3,0,0,0,8,52,209,110,28,6,128,108,34,0,142,20
2585,181,6,0,0,0,12,36,52,48,0,6,50,47,12,0,54,6
2586,2380,40,8,20,16,109,348,877,597,140,49,761,505,145,6,702,38
2587,2621,37,21,38,16,53,410,1114,565,126,37,790,540,238,28,798,62
2588,276,0,0,0,0,0,28,102,66,28,6,100,58,22,0,60,0
2590,6187,279,28,23,22,179,1173,2733,1558,283,47,2059,1169,599,48,2145,128
2594,10378,578,151,35,35,309,1722,3799,2775,630,164,2665,2440,1158,100,3137,242
2600,4605,1109,1854,0,14,1496,2092,2526,1698,509,108,2737,1901,481,23,3022,296
2601,0,0,3066,0,120,1999,2654,535,28,0,0,1908,304,160,51,2385,561
2602,20830,6633,4990,3,124,4598,9021,12402,5621,1224,211,8463,8001,2801,408,10826,2942
2603,5600,924,3015,5,23,1518,3816,2130,1925,752,157,3061,2547,685,90,3485,542
2604,4597,1080,6037,0,72,2722,6901,4228,1185,204,28,4381,2626,1187,111,6168,987
2605,9245,1189,1116,0,82,610,1447,3735,3044,805,132,2603,3522,886,82,2577,252
2606,4731,2755,4026,0,111,3105,5571,3445,1400,376,176,3900,2849,985,193,5643,718
2607,10807,2359,871,0,27,862,2257,4457,3813,1041,189,3608,3923,1135,133,3621,348
2609,380,49,3,237,16,152,305,201,53,20,4,173,120,75,17,490,39
2611,26523,4692,3550,6,59,2088,5796,10921,9633,2017,308,8194,10239,3154,323,8070,1110
2612,4754,2394,8983,5,138,7117,8434,4589,1895,414,83,6851,2744,873,216,9275,2886
2614,15478,2688,1323,0,46,994,3463,6985,4796,1091,240,4683,5122,1721,176,5289,783
2615,40669,4618,497,0,52,810,4130,17734,11712,1832,351,9357,12786,4509,390,8761,1109
2617,20189,7124,7716,0,94,6247,8962,12043,6868,1548,325,11312,8165,2928,582,10382,3014
2618,1273,22,0,0,9,20,78,192,339,149,69,282,392,56,0,137,16
2619,8455,875,0,0,0,4,490,1685,3426,862,150,1598,3328,643,25,997,62
2620,32213,5300,4524,82,144,3752,10208,11814,9560,2288,762,9637,11707,3897,461,12241,1096
2621,6131,121,60,18,6,63,368,1217,2144,579,106,1478,1980,355,26,632,45
2622,3516,109,6,33,60,200,676,1423,732,143,62,1280,738,237,26,1054,64
2623,555,5,0,0,0,30,139,197,76,26,0,134,114,66,8,148,8
2624,12,0,0,12,0,3,3,0,0,0,0,0,0,9,0,16,0
2625,102,5,107,5,17,66,41,43,25,0,6,61,33,17,0,91,25
2626,460,0,0,0,0,8,46,174,118,18,0,158,104,26,0,60,12
2627,3802,459,894,10,41,228,835,1550,955,269,106,1121,1074,319,18,1038,510
2628,1886,67,28,7,7,85,287,771,406,104,28,524,509,154,10,475,43
2629,402,0,0,11,0,25,90,178,98,19,16,165,65,14,0,168,18
2630,7426,273,177,65,41,390,1213,3095,1851,422,131,2162,1707,687,51,2474,200
2631,528,0,0,6,0,26,64,249,102,18,7,147,110,34,0,184,0
2632,1624,25,16,14,9,54,293,718,356,58,19,513,329,133,11,530,34
2633,286,0,0,0,0,4,48,134,65,18,0,95,50,20,8,113,0
2640,32295,3901,341,57,64,1822,7349,12664,9784,1456,232,9015,8595,3642,318,11041,1266
2641,13067,2145,137,37,38,386,4679,6049,2970,347,107,3443,3036,2076,176,5621,593
2642,4791,40,0,25,18,50,332,1400,1315,269,68,1127,1300,304,20,691,55
2643,2632,95,5,26,12,58,364,1271,624,82,18,910,572,215,16,663,86
2644,2101,37,0,4,0,73,288,844,528,118,39,647,440,171,20,608,36
2645,284,4,0,0,0,6,38,139,63,6,14,91,56,32,0,86,6
2646,5545,492,8,48,9,141,1350,2726,1411,229,37,1898,1178,551,33,2268,137
2647,2008,186,21,0,0,55,554,792,567,90,6,825,435,149,6,635,48
2648,1971,61,26,30,0,76,446,814,366,70,18,660,410,168,29,665,29
2649,25,0,0,0,0,0,3,6,0,0,0,8,12,0,0,8,0
2650,51857,1872,3396,195,86,1588,9962,18275,15572,2891,522,12673,13611,5657,518,15198,2030
2651,2188,21,87,18,0,40,212,738,632,60,14,398,653,255,10,369,30
2652,4270,8,4,4,18,58,304,1384,1195,262,66,1117,1091,287,20,759,67
2653,2190,29,8,5,10,76,323,895,500,90,12,716,433,207,10,542,40
2655,1272,0,3,0,8,9,126,401,292,94,22,290,312,100,12,263,22
2656,1162,15,18,4,9,39,129,437,342,64,8,349,242,102,12,328,19
2658,1288,14,0,0,0,41,211,509,284,56,19,391,274,107,8,380,24
2659,716,0,0,13,0,15,74,294,183,30,10,207,141,92,14,164,24
2660,1459,20,0,8,0,45,179,594,293,62,18,335,332,150,6,367,22
2661,178,0,0,0,0,0,0,58,52,0,0,28,66,12,0,0,0
2663,3928,53,77,31,0,132,524,1592,969,141,34,953,882,426,35,1064,98
2665,1807,32,3,12,24,86,261,665,436,98,26,531,404,109,8,517,35
2666,4920,176,13,51,7,234,708,1993,1290,228,50,1444,1057,461,53,1543,50
2668,357,0,0,10,4,6,36,132,96,21,0,102,62,38,4,92,10
2669,1307,11,0,7,12,42,134,439,379,85,26,317,317,94,0,396,17
2671,3298,118,68,32,14,143,452,1393,926,162,38,980,810,300,22,1062,53
2672,1212,0,62,4,18,76,190,453,295,52,33,295,274,147,20,392,15
2675,1239,0,47,37,0,61,188,498,315,52,10,336,291,107,14,341,63
2678,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2680,20138,805,1982,162,42,796,3157,7601,5661,800,132,4989,6005,1993,223,4863,575
2681,1622,15,42,0,0,55,167,579,394,94,16,373,465,105,18,333,16
2700,4033,61,72,33,3,85,696,1638,985,186,35,1021,825,472,52,1231,100
2701,2248,35,8,8,0,35,203,703,662,166,18,607,530,193,10,472,29
2702,734,3,0,0,0,28,70,308,159,36,6,193,154,56,0,188,22
2703,463,0,9,5,0,17,73,160,106,14,0,116,102,44,10,110,16
2705,8537,198,498,99,15,226,1309,3258,2436,398,110,2193,2183,941,84,2424,186
2706,892,0,14,0,0,19,166,426,154,34,6,223,171,119,11,271,26
2707,975,3,30,11,0,17,128,386,291,55,10,297,255,62,8,295,8
2710,8023,408,36,31,23,260,1561,3564,1988,356,91,2486,1740,686,91,2804,210
2711,2600,125,19,7,3,96,491,1050,649,165,43,782,569,282,18,862,45
2712,1133,65,3,21,6,57,219,485,279,44,14,387,254,84,12,366,14
2713,2204,95,7,9,0,34,424,981,580,88,22,688,462,205,10,753,43
2714,2288,108,18,48,13,73,433,1127,509,84,12,894,423,175,10,796,63
2715,1089,34,5,11,3,51,169,435,278,50,10,311,239,95,6,347,28
2716,807,14,11,5,0,37,91,367,212,30,12,258,152,58,0,269,24
2717,964,36,0,0,0,48,151,358,186,24,6,243,197,113,14,231,14
2720,7050,452,70,18,31,239,1346,3051,1733,274,27,1971,1764,794,55,2157,100
2721,202,3,3,0,0,0,19,66,55,10,0,49,49,18,0,51,0
2722,2795,19,114,38,35,62,382,1050,795,123,49,757,664,227,32,797,71
2725,325,0,0,0,0,10,65,128,80,8,0,108,64,34,0,88,8
2726,232,0,0,0,0,0,24,96,60,8,8,52,50,18,0,56,0
2727,277,0,0,0,0,0,22,79,60,20,12,62,74,10,0,60,0
2729,1469,19,3,11,5,17,162,647,338,60,16,401,379,101,12,357,30
2730,1166,14,0,10,0,45,220,534,218,28,0,373,211,106,10,349,22
2731,6110,485,16,58,10,108,1265,2254,1913,240,28,2222,1574,438,32,1572,108
2732,1517,96,16,28,0,52,271,768,369,81,30,601,286,112,12,619,30
2733,479,12,7,0,0,18,95,180,98,20,10,140,87,49,0,155,0
2734,439,0,0,0,0,0,22,106,152,16,0,132,118,6,0,44,0
2735,372,0,0,0,0,8,22,138,100,6,0,102,104,20,0,60,0
2736,314,21,3,4,0,0,54,120,78,14,0,92,72,21,8,72,19
2737,632,0,14,0,0,6,58,236,141,8,0,163,156,48,3,91,13
2738,1945,18,5,11,0,16,99,566,591,102,34,493,610,67,0,231,14
2739,1159,44,17,25,6,42,164,459,280,26,14,326,283,114,6,257,18
2745,29090,1432,398,43,17,305,674,5360,10734,2621,592,4609,10041,2637,147,2752,284
2747,41887,6816,2550,9,153,1096,6144,16191,13257,2516,611,8316,15161,6070,567,9220,1221
2748,1705,26,16,10,8,17,37,190,502,221,119,322,500,122,10,164,8
2749,14922,1259,52,13,5,135,455,5601,3799,956,337,2642,4655,1858,105,2001,195
2750,34311,4923,6660,151,237,3056,12530,17322,8614,2110,514,10535,11080,6114,626,15127,1598
2752,5505,20,4,0,0,21,251,1009,1636,551,126,958,1735,353,20,533,46
2753,14279,1235,531,60,52,499,2292,5251,3376,1070,384,3178,4141,1642,121,3673,325
2754,5801,816,55,6,6,39,968,2133,1889,447,102,1588,1715,767,47,1413,129
2756,30921,2205,377,108,115,730,2329,10280,7964,2320,800,6184,9475,3300,221,5102,577
2757,818,0,7,0,0,20,63,187,220,62,40,175,210,64,0,107,6
2758,8497,16,34,13,10,168,415,1645,2358,816,372,1831,2560,449,28,901,74
2759,25016,259,116,0,18,115,492,7822,6094,1597,376,4156,7470,2380,132,2312,264
2760,25714,6790,2137,40,105,841,5505,13935,6439,1001,245,5238,9595,5049,482,7382,957
2761,30869,1958,214,21,36,143,978,9464,7150,1854,394,3536,10977,2827,247,2358,358
2762,18475,1013,1508,0,42,298,1869,2392,7517,1623,116,2801,7893,1361,124,1512,396
2763,23670,7126,1086,7,12,344,1651,10751,8628,1487,297,4651,12147,2760,287,3050,520
2765,41725,739,294,92,74,552,1575,5330,14388,4199,664,5790,14992,2520,275,3197,451
2766,12030,3112,311,64,20,256,926,5106,3476,631,145,1908,5233,1516,137,1732,209
2767,19780,2250,216,9,9,438,1035,6656,5164,1184,229,2729,7019,2279,259,2292,407
2768,25187,2035,11,0,15,84,754,3341,9786,2326,371,2997,10218,1613,143,1638,242
2769,13821,1983,4,70,6,38,558,1260,5726,1805,236,1505,6648,721,32,729,123
2770,45020,7196,4069,22,158,1685,6086,22377,8420,1618,465,6821,14366,9051,805,9516,1224
2773,5643,141,29,0,3,104,310,1401,1830,545,83,1270,1754,382,8,823,67
2774,12226,408,41,0,8,135,794,3911,3420,981,201,2848,3566,1048,74,1848,163
2775,1279,0,9,30,27,118,386,463,226,40,14,377,255,100,8,517,62
2776,3951,42,16,6,0,26,274,1205,1089,295,42,899,1126,363,14,536,45
2777,16097,693,279,3,38,514,1523,5356,4659,1318,279,4122,4643,1313,73,3434,196
2778,2345,11,14,0,0,49,224,751,627,192,22,597,617,213,16,424,44
2779,4745,85,16,0,11,75,475,1873,1082,254,48,1032,1261,487,30,944,80
2780,10857,617,878,42,109,1015,3334,5382,2249,560,184,3510,2195,1400,120,5251,560
2782,5789,120,55,4,0,112,668,2479,1528,352,67,1727,1341,462,48,1514,159
2783,2451,31,61,4,28,109,398,1019,468,154,28,539,599,289,24,707,52
2784,1225,11,4,0,6,25,166,416,294,78,12,309,315,100,0,264,16
2785,4310,72,39,12,7,189,916,2058,975,165,44,1350,805,506,30,1582,125
2786,1113,3,0,4,8,48,217,503,209,42,28,336,178,91,8,409,46
2787,3773,124,38,12,18,179,517,1543,1051,146,42,1165,756,403,13,1136,84
2790,12701,911,180,67,89,546,2976,5670,2851,588,190,3560,2741,1598,129,4936,333
2791,268,5,0,9,0,6,32,104,76,27,12,85,50,24,0,97,0
2792,356,0,0,0,0,10,58,120,84,24,14,102,68,38,6,82,8
2793,932,9,0,3,8,53,156,365,175,48,28,301,160,71,20,254,22
